id,name,rating,hours,year,desc_preview
BTMS1PXLQ6P6,Assassin's Creed® Chronicles: India,0.0,5.64,,"🎮 Microsoft StoreEmbody Arbaaz in his quest for retribution through a colourful depiction of 19th century Colonial India in 2.5D stealth gameplay. 

• Travel across an amazing 19th-century India and i"
C0KJ40T9QD86,Far Cry® 4,72.0,,2014,"🎮 Microsoft StoreSEQUEL TO THE #1 RATED SHOOTER OF 2012*

Built from the legendary DNA of its award-winning predecessor, Far Cry® 4 delivers the most expansive and immersive Far Cry® experience ever i"
9P03JGQ4S1GC,UnknownID_9P03JGQ4S1GC,90.0,,,Опис недоступний / No description.
BX7XFZ51XTW8,Lara Croft and the Guardian of Light,94.0,,,"🎮 Microsoft StoreExperience the first ever co-op action-adventure game featuring Lara Croft. Team up with a friend or go at it alone as you traverse and solve deadly traps, fight hordes of undead enem"
BV9CWVQWNS4P,STAR WARS™: Squadrons,100.0,,,🎮 Microsoft StoreMaster the art of starfighter combat in the authentic piloting experience STAR WARS™: Squadrons. Buckle up and feel the adrenaline of first-person multiplayer space dogfights alongsid
C2Q32JM0BPZL,Fable Anniversary,74.0,,,"🎮 Microsoft StoreThe Games on Demand version supports English, French, Spanish, and Portuguese.As the best-selling RPG on the original Xbox, Fable pioneered every player’s choice having a consequence."
9N94NCGM1Q2N,UnknownID_9N94NCGM1Q2N,64.0,,,Опис недоступний / No description.
BR7X7MVBBQKM,Far Cry® 5,92.0,,,"🎮 Microsoft StoreWelcome to Hope County, Montana, the land of the free and brave, but also the home of a fanatical doomsday cult. Stand up to cult leader Joseph Seed and his siblings, the Heralds, to "
9N0KN24FWP6B,UnknownID_9N0KN24FWP6B,60.0,,,Опис недоступний / No description.
C4CBF3FHHCND,UnknownID_C4CBF3FHHCND,0.0,,,Опис недоступний / No description.
9N04NS8TP202,UnknownID_9N04NS8TP202,80.0,,,Опис недоступний / No description.
9NB65S6LFZRT,Enter The Gungeon,70.0,,,"🎮 Microsoft StoreEnter the Gungeon is a gunfight dungeon crawler following a band of misfits seeking to shoot, loot, dodge roll and table-flip their way to personal absolution by reaching the legendar"
9PDDRVKPF6KG,UnknownID_9PDDRVKPF6KG,30.0,,,Опис недоступний / No description.
9NKVX66J0ZSK,UnknownID_9NKVX66J0ZSK,20.0,,,Опис недоступний / No description.
9PBB4QHMSDKR,UnknownID_9PBB4QHMSDKR,100.0,,,Опис недоступний / No description.
BV6BRSLFJW3W,Far Cry Primal,84.0,,,"🎮 Microsoft StoreThe award-winning Far Cry franchise that stormed the tropics and the Himalayas now enters the original fight for humanity’s survival with its innovative open-world sandbox gameplay, b"
9NSF0BGH8D86,UnknownID_9NSF0BGH8D86,76.0,,,Опис недоступний / No description.
BQR7QS0F8SJ3,The Walking Dead: A New Frontier - The Complete Season (Episodes 1-5),100.0,,,"🎮 Microsoft StoreWhen family is all you have left…how far will you go to protect it?

After society was ripped apart by undead hands, pockets of civilization emerge from the chaos. But at what cost? C"
9P6X0VL8BXZF,UnknownID_9P6X0VL8BXZF,100.0,,,Опис недоступний / No description.
9MXND4PQLK3W,UnknownID_9MXND4PQLK3W,100.0,,,Опис недоступний / No description.
9NBFGKQLMV33,UnknownID_9NBFGKQLMV33,76.0,,,Опис недоступний / No description.
9P4NJFH17MRT,UnknownID_9P4NJFH17MRT,76.0,,,Опис недоступний / No description.
BRT1K9FV4LRR,Broken Age,100.0,,,"🎮 Microsoft StoreBroken Age is a timeless coming-of-age story of barfing trees and talking spoons. Vella Tartine and Shay Volta are two teenagers in strangely similar situations, but radically differe"
C2M8HBNVPT1T,The Evil Within,66.0,,,"🎮 Microsoft StoreDeveloped by Shinji Mikami and the talented team at Tango Gameworks, The Evil Within embodies the meaning of pure survival horror. Highly-crafted environments, horrifying anxiety, and"
9NPRHD8GQKQS,UnknownID_9NPRHD8GQKQS,80.0,,,Опис недоступний / No description.
9P8LR42PTRGJ,UnknownID_9P8LR42PTRGJ,80.0,,,Опис недоступний / No description.
9PHH1ZWRSZ41,UnknownID_9PHH1ZWRSZ41,78.0,,,Опис недоступний / No description.
9N36BLQF3FX6,UnknownID_9N36BLQF3FX6,90.0,,,Опис недоступний / No description.
9NN3HCKW5TPC,Gears Tactics,20.0,,,"🎮 Microsoft StoreComplete the Gears Tactics tutorial and get Armored Gabe Character Skin for multiplayer modes in Gears 5.

Gears Tactics is the fast-paced, turn-based strategy game set 12 years befor"
C37XBX7DCBZ0,UnknownID_C37XBX7DCBZ0,92.0,,,Опис недоступний / No description.
C47GZZBMR5WG,Dragon Age™: Inquisition,74.0,,,"🎮 Microsoft StoreYou are the only one who can stop demons flooding into the land of Thedas.

A cataclysmic event plunges the land of Thedas into turmoil. Dragons darken the sky, casting a shadow of te"
9PDC9X7BKZR3,UnknownID_9PDC9X7BKZR3,92.0,,,Опис недоступний / No description.
9ND3HTTQ0GKB,UnknownID_9ND3HTTQ0GKB,88.0,,,Опис недоступний / No description.
9PHKWCSZ0SQJ,Anno 1800™ Console Edition,50.0,,,🎮 Microsoft StoreWelcome to the dawn of the Industrial Age in this city-building real-time strategy game. Experience one of the most exciting and fast-changing periods of all time as you discover new 
BPCN22ZVT05C,Rise of the Tomb Raider,94.0,,,"🎮 Microsoft StoreFeaturing epic, high-octane action moments set in the most beautifully hostile environments on earth, Rise of the Tomb Raider delivers a cinematic survival action adventure where you "
9PNCL2R6G8D0,Call of Duty®: Black Ops 6 - Standard Edition,50.0,,,"🎮 Microsoft StoreForced to go rogue. Hunted from within. This is Call of Duty®: Black Ops 6.

Developed by Treyarch and Raven, Black Ops 6 is a spy action thriller set in the early 90s, a period of tr"
C5K89TFLSV19,The Elder Scrolls IV: Oblivion,80.0,,,"🎮 Microsoft StoreDownload the manual for this game by locating the game on http://marketplace.xbox.com and selecting “See Game Manual"". Step inside the most richly detailed and vibrant game-world ever"
9N4X0WFZ2STM,UnknownID_9N4X0WFZ2STM,86.0,,,Опис недоступний / No description.
C2CSDTSCBZ0C,UnknownID_C2CSDTSCBZ0C,92.0,,,Опис недоступний / No description.
9NTJMT7D8VVV,UnknownID_9NTJMT7D8VVV,0.0,,,Опис недоступний / No description.
BSDX4FNNC0DK,UnknownID_BSDX4FNNC0DK,66.0,,,Опис недоступний / No description.
9NK4NTBFWW81,UnknownID_9NK4NTBFWW81,76.0,,,Опис недоступний / No description.
9PFT2MJKJHWX,UnknownID_9PFT2MJKJHWX,100.0,,,Опис недоступний / No description.
